,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kapaa,22.08,-159.32,73.4,73.0,40.0,13.87,US,1589126037
1,pevek,69.7,170.31,34.12,87.0,68.0,14.07,RU,1589126037
2,barrow,71.29,-156.79,21.2,92.0,1.0,5.82,US,1589126037
3,alyangula,-13.85,136.42,73.4,94.0,5.0,1.12,AU,1589126037
4,butaritari,3.07,172.79,82.62,78.0,18.0,7.99,KI,1589126038
5,hermanus,-34.42,19.23,69.01,70.0,0.0,0.92,ZA,1589126038
6,tondi,9.73,79.02,87.62,72.0,98.0,9.64,IN,1589125991
7,dikson,73.51,80.55,27.32,97.0,92.0,13.73,RU,1589126038
8,saskylakh,71.92,114.08,16.0,95.0,100.0,8.21,RU,1589126039
9,hilo,19.73,-155.09,66.2,72.0,1.0,6.93,US,1589126039
10,mataura,-46.19,168.86,44.58,91.0,19.0,3.27,NZ,1589126039
11,ushuaia,-54.8,-68.3,41.0,80.0,95.0,3.36,AR,1589125943
12,bethel,41.37,-73.41,55.99,37.0,1.0,13.87,US,1589126039
13,zharkent,44.16,80.0,68.05,47.0,100.0,1.61,KZ,1589126040
14,mahebourg,-20.41,57.7,73.4,73.0,40.0,12.75,MU,1589126040
15,kasempa,-13.46,25.83,66.74,63.0,23.0,6.08,ZM,1589126040
16,beitbridge,-22.22,30.0,69.8,47.0,0.0,11.74,ZW,1589126040
17,najran,17.49,44.13,95.0,16.0,12.0,9.17,SA,1589126040
18,caravelas,-17.71,-39.25,76.15,59.0,74.0,9.98,BR,1589126041
19,punta arenas,-53.15,-70.92,42.8,93.0,90.0,13.87,CL,1589126018
20,yellowknife,62.46,-114.35,27.0,62.0,20.0,6.93,CA,1589125924
21,albany,42.6,-73.97,53.01,37.0,75.0,17.22,US,1589125963
22,zhengjiatun,43.51,123.51,56.39,49.0,66.0,12.15,CN,1589126041
23,buala,-8.14,159.59,81.12,82.0,8.0,6.22,SB,1589126041
24,limulunga,-15.1,23.14,72.79,46.0,52.0,4.63,ZM,1589126042
25,puerto ayora,-0.74,-90.35,82.4,74.0,20.0,11.41,EC,1589126042
26,arraial do cabo,-22.97,-42.03,78.8,47.0,20.0,13.87,BR,1589126042
27,bluff,-46.6,168.33,50.74,83.0,13.0,9.51,NZ,1589126042
28,constitucion,-35.33,-72.42,61.16,69.0,32.0,3.13,CL,1589126043
29,hobart,-42.88,147.33,50.0,81.0,43.0,2.24,AU,1589125804
30,faya,18.39,42.45,77.0,50.0,20.0,9.17,SA,1589126043
31,kincardine,56.07,-3.72,50.0,55.0,75.0,16.11,GB,1589126043
32,tasiilaq,65.61,-37.64,35.6,86.0,1.0,8.05,GL,1589126043
33,busselton,-33.65,115.33,48.99,67.0,99.0,2.08,AU,1589126044
34,luderitz,-26.65,15.16,84.2,32.0,0.0,6.93,NA,1589126044
35,larsnes,62.2,5.58,41.0,48.0,40.0,17.22,NO,1589126044
36,qaanaaq,77.48,-69.36,13.91,83.0,4.0,3.51,GL,1589126044
37,seoni malwa,22.45,77.47,85.86,32.0,6.0,9.82,IN,1589126044
38,nizhniy kuranakh,58.84,125.49,30.31,94.0,85.0,2.48,RU,1589126045
39,pinheiro,-2.52,-45.08,83.21,84.0,37.0,4.79,BR,1589126045
40,vestmannaeyjar,63.44,-20.27,44.6,66.0,75.0,16.11,IS,1589126045
41,vaini,-21.2,-175.2,73.4,100.0,75.0,15.1,TO,1589126045
